<anon> events\ACW.txt [province_event\option] (Line 1122, column 2) (Scope Country)
<anon> events\FRAFlavor.txt [country_event\option] (Line 977, column 2) (Scope Country)
<anon> events\FRAFlavor.txt [country_event\option] (Line 1018, column 2) (Scope Country)
<anon> events\FRAFlavor.txt [country_event\option] (Line 1060, column 2) (Scope Country)
<anon> events\FRAFlavor.txt [country_event\option] (Line 1100, column 2) (Scope Country)
<anon> events\FRMFlavor.txt [country_event\option] (Line 33, column 2) (Scope Country)
<anon> events\GERFlavor.txt [province_event\option] (Line 85, column 2) (Scope Country)
<anon> events\GERFlavor.txt [province_event\option] (Line 97, column 2) (Scope Country)
<anon> events\GERFlavor.txt [country_event\option] (Line 40, column 2) (Scope Country)
<anon> events\GERFlavor.txt [country_event\option] (Line 147, column 2) (Scope Country)
<anon> events\GERFlavor.txt [country_event\option] (Line 191, column 2) (Scope Country)
<anon> events\GERFlavor.txt [country_event\option] (Line 237, column 2) (Scope Country)
<anon> events\GERFlavor.txt [country_event\option] (Line 300, column 2) (Scope Country)
<anon> events\GERFlavor.txt [country_event\option] (Line 309, column 2) (Scope Country)
<anon> events\Goods.txt [province_event\option] (Line 53, column 2) (Scope Country)
<anon> events\Goods.txt [province_event\option] (Line 116, column 2) (Scope Country)
<anon> events\Goods.txt [province_event\option] (Line 180, column 2) (Scope Country)
<anon> events\Goods.txt [province_event\option] (Line 244, column 2) (Scope Country)
<anon> events\Goods.txt [province_event\option] (Line 308, column 2) (Scope Country)
<anon> events\Goods.txt [province_event\option] (Line 372, column 2) (Scope Country)
<anon> events\Goods.txt [province_event\option] (Line 436, column 2) (Scope Country)
<anon> events\Goods.txt [province_event\option] (Line 501, column 2) (Scope Country)
<anon> events\Goods.txt [province_event\option] (Line 565, column 2) (Scope Country)
<anon> events\Goods.txt [province_event\option] (Line 630, column 2) (Scope Country)
<anon> events\Goods.txt [province_event\option] (Line 694, column 2) (Scope Country)
<anon> events\Goods.txt [province_event\option] (Line 758, column 2) (Scope Country)
<anon> events\Goods.txt [province_event\option] (Line 840, column 2) (Scope Country)
<anon> events\Goods.txt [province_event\option] (Line 940, column 2) (Scope Country)
<anon> events\Goods.txt [province_event\option] (Line 1013, column 2) (Scope Country)
<anon> events\Goods.txt [province_event\option] (Line 1090, column 2) (Scope Country)
<anon> events\Goods.txt [province_event\option] (Line 1175, column 2) (Scope Country)
<anon> events\Goods.txt [province_event\option] (Line 1246, column 2) (Scope Country)
<anon> events\Goods.txt [province_event\option] (Line 1309, column 2) (Scope Country)
<anon> events\Goods.txt [province_event\option] (Line 1386, column 2) (Scope Country)
<anon> events\Goods.txt [province_event\option] (Line 1523, column 2) (Scope Country)
<anon> events\Goods.txt [province_event\option] (Line 1633, column 2) (Scope Country)
<anon> events\Goods.txt [country_event\option] (Line 25, column 2) (Scope Country)
<anon> events\Goods.txt [country_event\option] (Line 88, column 2) (Scope Country)
<anon> events\Goods.txt [country_event\option] (Line 151, column 2) (Scope Country)
<anon> events\Goods.txt [country_event\option] (Line 215, column 2) (Scope Country)
<anon> events\Goods.txt [country_event\option] (Line 279, column 2) (Scope Country)
<anon> events\Goods.txt [country_event\option] (Line 343, column 2) (Scope Country)
<anon> events\Goods.txt [country_event\option] (Line 407, column 2) (Scope Country)
<anon> events\Goods.txt [country_event\option] (Line 472, column 2) (Scope Country)
<anon> events\Goods.txt [country_event\option] (Line 536, column 2) (Scope Country)
<anon> events\Goods.txt [country_event\option] (Line 601, column 2) (Scope Country)
<anon> events\Goods.txt [country_event\option] (Line 665, column 2) (Scope Country)
<anon> events\Goods.txt [country_event\option] (Line 729, column 2) (Scope Country)
<anon> events\Goods.txt [country_event\option] (Line 795, column 2) (Scope Country)
<anon> events\Goods.txt [country_event\option] (Line 901, column 2) (Scope Country)
<anon> events\Goods.txt [country_event\option] (Line 984, column 2) (Scope Country)
<anon> events\Goods.txt [country_event\option] (Line 1051, column 2) (Scope Country)
<anon> events\Goods.txt [country_event\option] (Line 1136, column 2) (Scope Country)
<anon> events\Goods.txt [country_event\option] (Line 1218, column 2) (Scope Country)
<anon> events\Goods.txt [country_event\option] (Line 1281, column 2) (Scope Country)
<anon> events\GreatPowers.txt [province_event\option] (Line 197, column 2) (Scope Country)
	Outgoing
		19022: events\GreatPowers.txt [province_event\option\any_country\country_event\id] (Line 213, column 22)
19022 (Scope <err>)
	Incoming
		<anon> events\GreatPowers.txt [province_event\option] (Line 197, column 2) (Scope Country): events\GreatPowers.txt [province_event\option\any_country\country_event\id] (Line 213, column 22)
<anon> events\GreatPowers.txt [province_event\option] (Line 217, column 2) (Scope Country)
<anon> events\GreatPowers.txt [country_event\option] (Line 49, column 2) (Scope Country)
	Outgoing
		19005: events\GreatPowers.txt [country_event\option\any_greater_power\country_event\id] (Line 64, column 22)
19005 (Scope <err>)
	Incoming
		<anon> events\GreatPowers.txt [country_event\option] (Line 49, column 2) (Scope Country): events\GreatPowers.txt [country_event\option\any_greater_power\country_event\id] (Line 64, column 22)
<anon> events\GreatPowers.txt [country_event\option] (Line 78, column 2) (Scope Country)
<anon> events\GreatPowers.txt [country_event\option] (Line 87, column 2) (Scope Country)
<anon> events\GreatPowers.txt [country_event\option] (Line 135, column 2) (Scope Country)
<anon> events\GreatPowers.txt [country_event\option] (Line 146, column 2) (Scope Country)
<anon> events\GreatPowers.txt [country_event\option] (Line 234, column 2) (Scope Country)
<anon> events\GreatPowers.txt [country_event\option] (Line 240, column 2) (Scope Country)
<anon> events\GreatPowers.txt [country_event\option] (Line 260, column 2) (Scope Country)
<anon> events\GreatPowers.txt [country_event\option] (Line 266, column 2) (Scope Country)
<anon> events\GreatPowers.txt [country_event\option] (Line 290, column 2) (Scope Country)
<anon> events\GreatPowers.txt [country_event\option] (Line 296, column 2) (Scope Country)
<anon> events\GreatPowers.txt [country_event\option] (Line 321, column 2) (Scope Country)
<anon> events\GreatPowers.txt [country_event\option] (Line 329, column 2) (Scope Country)
<anon> events\GreatPowers.txt [country_event\option] (Line 354, column 2) (Scope Country)
<anon> events\GreatPowers.txt [country_event\option] (Line 383, column 2) (Scope Country)
	Outgoing
		19028: events\GreatPowers.txt [country_event\option\any_country\country_event\id] (Line 396, column 22)
19028 (Scope <err>)
	Incoming
		<anon> events\GreatPowers.txt [country_event\option] (Line 383, column 2) (Scope Country): events\GreatPowers.txt [country_event\option\any_country\country_event\id] (Line 396, column 22)
<anon> events\GreatPowers.txt [country_event\option] (Line 410, column 2) (Scope Country)
<anon> events\GreatPowers.txt [country_event\option] (Line 436, column 2) (Scope Country)
<anon> events\GreatPowers.txt [country_event\option] (Line 458, column 2) (Scope Country)
	Outgoing
		19031: events\GreatPowers.txt [country_event\option\FROM\country_event\id] (Line 466, column 22)
19031 (Scope <err>)
	Incoming
		<anon> events\GreatPowers.txt [country_event\option] (Line 458, column 2) (Scope Country): events\GreatPowers.txt [country_event\option\FROM\country_event\id] (Line 466, column 22)
<anon> events\GreatPowers.txt [country_event\option] (Line 470, column 2) (Scope Country)
<anon> events\GreatPowers.txt [country_event\option] (Line 484, column 2) (Scope Country)
	Outgoing
		19032: events\GreatPowers.txt [country_event\option\FROM\country_event\id] (Line 492, column 22)
19032 (Scope <err>)
	Incoming
		<anon> events\GreatPowers.txt [country_event\option] (Line 484, column 2) (Scope Country): events\GreatPowers.txt [country_event\option\FROM\country_event\id] (Line 492, column 22)
<anon> events\GreatPowers.txt [country_event\option] (Line 496, column 2) (Scope Country)
	Outgoing
		19033: events\GreatPowers.txt [country_event\option\FROM\country_event\id] (Line 499, column 22)
19033 (Scope <err>)
	Incoming
		<anon> events\GreatPowers.txt [country_event\option] (Line 496, column 2) (Scope Country): events\GreatPowers.txt [country_event\option\FROM\country_event\id] (Line 499, column 22)
<anon> events\GreatPowers.txt [country_event\option] (Line 514, column 2) (Scope Country)
<anon> events\GreatPowers.txt [country_event\option] (Line 528, column 2) (Scope Country)
<anon> events\GreatPowers.txt [country_event\option] (Line 543, column 2) (Scope Country)
	Outgoing
		19041: events\GreatPowers.txt [country_event\option\FROM\country_event\id] (Line 547, column 22)
19041 (Scope <err>)
	Incoming
		<anon> events\GreatPowers.txt [country_event\option] (Line 543, column 2) (Scope Country): events\GreatPowers.txt [country_event\option\FROM\country_event\id] (Line 547, column 22)
<anon> events\GreatPowers.txt [country_event\option] (Line 570, column 2) (Scope Country)
	Outgoing
		19042: events\GreatPowers.txt [country_event\option\FROM\country_event\id] (Line 573, column 22)
19042 (Scope <err>)
	Incoming
		<anon> events\GreatPowers.txt [country_event\option] (Line 570, column 2) (Scope Country): events\GreatPowers.txt [country_event\option\FROM\country_event\id] (Line 573, column 22)
<anon> events\GreatPowers.txt [country_event\option] (Line 587, column 2) (Scope Country)
<anon> events\GreatPowers.txt [country_event\option] (Line 611, column 2) (Scope Country)
<anon> events\GreatPowers.txt [country_event\option] (Line 656, column 2) (Scope Country)
<anon> events\GreatPowers.txt [country_event\option] (Line 661, column 2) (Scope Country)
<anon> events\GreatPowers.txt [country_event\option] (Line 686, column 2) (Scope Country)
<anon> events\GreatPowers.txt [country_event\option] (Line 708, column 2) (Scope Country)
<anon> events\GreatPowers.txt [country_event\option] (Line 740, column 2) (Scope Country)
<anon> events\GreatPowers.txt [country_event\option] (Line 768, column 2) (Scope Country)
<anon> events\GreatPowers.txt [country_event\option] (Line 784, column 2) (Scope Country)
<anon> events\GreatPowers.txt [country_event\option] (Line 807, column 2) (Scope Country)
<anon> events\GreatPowers.txt [country_event\option] (Line 838, column 2) (Scope Country)
<anon> events\GreatPowers.txt [country_event\option] (Line 864, column 2) (Scope Country)
<anon> events\HAIFlavor.txt [country_event\option] (Line 35, column 2) (Scope Country)
<anon> events\HAMFlavor.txt [province_event\option] (Line 115, column 2) (Scope Country)
<anon> events\HAMFlavor.txt [country_event\option] (Line 35, column 2) (Scope Country)
<anon> events\HAMFlavor.txt [country_event\option] (Line 77, column 2) (Scope Country)
<anon> events\HAWFlavor.txt [country_event\option] (Line 39, column 2) (Scope Country)
<anon> events\HEDFlavor.txt [country_event\option] (Line 38, column 2) (Scope Country)
<anon> events\HEKFlavor.txt [country_event\option] (Line 37, column 2) (Scope Country)
<anon> events\IdeologyEnabling.txt [country_event\option] (Line 65, column 2) (Scope Country)
<anon> events\IdeologyEnabling.txt [country_event\option] (Line 126, column 2) (Scope Country)
<anon> events\IdeologyEnabling.txt [country_event\option] (Line 169, column 2) (Scope Country)
<anon> events\IdeologyEnabling.txt [country_event\option] (Line 233, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 52, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 68, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 84, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 123, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 137, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 148, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 182, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 222, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 238, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 254, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 295, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 304, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 316, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 353, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 369, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 379, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 429, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 442, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 491, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 506, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 521, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 545, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 559, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 570, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 597, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 610, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 620, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 660, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 672, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 681, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 727, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 738, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 812, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 823, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 834, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 883, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 897, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 920, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 930, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 940, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 981, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 993, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 1005, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 1053, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 1064, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 1071, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 1100, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 1110, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 1127, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 1172, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 1188, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 1204, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 1243, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 1256, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 1294, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 1309, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 1352, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 1364, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 1406, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 1418, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 1430, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 1475, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 1484, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 1494, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 1538, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 1547, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 1584, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 1594, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 1643, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 1652, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 1694, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 1703, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 1739, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 1752, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 1790, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 1797, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 1808, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 1850, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 1864, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 1876, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 1906, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 1918, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 1928, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 1980, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 1993, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 2002, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 2048, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 2060, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 2070, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 2109, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 2126, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 2136, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 2172, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 2182, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 2223, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 2233, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 2245, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 2299, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 2313, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 2326, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 2366, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 2376, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 2386, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 2429, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 2442, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 2454, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 2495, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 2510, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 2525, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 2585, column 2) (Scope Country)
<anon> events\IssueSuggestion.txt [country_event\option] (Line 2605, column 2) (Scope Country)
<anon> events\ITAFlavor.txt [country_event\option] (Line 35, column 2) (Scope Country)
<anon> events\ITAFlavor.txt [country_event\option] (Line 75, column 2) (Scope Country)
<anon> events\ITAFlavor.txt [country_event\option] (Line 115, column 2) (Scope Country)
<anon> events\LiberalRevolutions.txt [province_event\option] (Line 708, column 2) (Scope Country)
<anon> events\LiberalRevolutions.txt [province_event\option] (Line 715, column 2) (Scope Country)
<anon> events\LiberalRevolutions.txt [province_event\option] (Line 809, column 2) (Scope Country)
<anon> events\LiberalRevolutions.txt [province_event\option] (Line 817, column 2) (Scope Country)
<anon> events\LiberalRevolutions.txt [province_event\option] (Line 873, column 2) (Scope Country)
<anon> events\LiberalRevolutions.txt [province_event\option] (Line 879, column 2) (Scope Country)
<anon> events\LiberalRevolutions.txt [province_event\option] (Line 924, column 2) (Scope Country)
<anon> events\LiberalRevolutions.txt [province_event\option] (Line 937, column 2) (Scope Country)
<anon> events\LiberalRevolutions.txt [province_event\option] (Line 1039, column 2) (Scope Country)
<anon> events\LiberalRevolutions.txt [province_event\option] (Line 1161, column 2) (Scope Country)
<anon> events\LiberalRevolutions.txt [province_event\option] (Line 1212, column 2) (Scope Country)
<anon> events\LiberalRevolutions.txt [province_event\option] (Line 1222, column 2) (Scope Country)
<anon> events\LiberalRevolutions.txt [province_event\option] (Line 1259, column 2) (Scope Country)
<anon> events\LiberalRevolutions.txt [province_event\option] (Line 1303, column 2) (Scope Country)
<anon> events\LiberalRevolutions.txt [province_event\option] (Line 1456, column 2) (Scope Country)
<anon> events\LiberalRevolutions.txt [province_event\option] (Line 1578, column 2) (Scope Country)
<anon> events\LiberalRevolutions.txt [country_event\option] (Line 34, column 2) (Scope Country)
<anon> events\LiberalRevolutions.txt [country_event\option] (Line 155, column 2) (Scope Country)
<anon> events\LiberalRevolutions.txt [country_event\option] (Line 210, column 2) (Scope Country)
<anon> events\LiberalRevolutions.txt [country_event\option] (Line 277, column 2) (Scope Country)
<anon> events\LiberalRevolutions.txt [country_event\option] (Line 344, column 2) (Scope Country)
<anon> events\LiberalRevolutions.txt [country_event\option] (Line 369, column 2) (Scope Country)
<anon> events\LiberalRevolutions.txt [country_event\option] (Line 429, column 2) (Scope Country)
<anon> events\LiberalRevolutions.txt [country_event\option] (Line 444, column 2) (Scope Country)
<anon> events\LiberalRevolutions.txt [country_event\option] (Line 499, column 2) (Scope Country)
<anon> events\LiberalRevolutions.txt [country_event\option] (Line 514, column 2) (Scope Country)
<anon> events\LiberalRevolutions.txt [country_event\option] (Line 566, column 2) (Scope Country)
<anon> events\LiberalRevolutions.txt [country_event\option] (Line 613, column 2) (Scope Country)
<anon> events\LiberalRevolutions.txt [country_event\option] (Line 1101, column 2) (Scope Country)
<anon> events\LiberalRevolutions.txt [country_event\option] (Line 1381, column 2) (Scope Country)
<anon> events\LiberalRevolutions.txt [country_event\option] (Line 1394, column 2) (Scope Country)
<anon> events\LiberalRevolutions.txt [country_event\option] (Line 1516, column 2) (Scope Country)
<anon> events\LiberalRevolutions.txt [country_event\option] (Line 1531, column 2) (Scope Country)
<anon> events\LiberalRevolutions.txt [country_event\option] (Line 1622, column 2) (Scope Country)
<anon> events\LiberalRevolutions.txt [country_event\option] (Line 1637, column 2) (Scope Country)
<anon> events\LiberalRevolutions.txt [country_event\option] (Line 1702, column 2) (Scope Country)
<anon> events\LiberalRevolutions.txt [country_event\option] (Line 1710, column 2) (Scope Country)
<anon> events\LiberalRevolutions.txt [country_event\option] (Line 1768, column 2) (Scope Country)
<anon> events\LiberalRevolutions.txt [country_event\option] (Line 1781, column 2) (Scope Country)
<anon> events\LiberalRevolutions.txt [country_event\option] (Line 1840, column 2) (Scope Country)
<anon> events\LiberalRevolutions.txt [country_event\option] (Line 1853, column 2) (Scope Country)
<anon> events\LiberalRevolutions.txt [country_event\option] (Line 1905, column 2) (Scope Country)
<anon> events\LiberalRevolutions.txt [country_event\option] (Line 1917, column 2) (Scope Country)
<anon> events\LiberalRevolutions.txt [country_event\option] (Line 1981, column 2) (Scope Country)
<anon> events\LiberalRevolutions.txt [country_event\option] (Line 1997, column 2) (Scope Country)
<anon> events\LOMFlavor.txt [country_event\option] (Line 36, column 2) (Scope Country)
<anon> events\MEXFlavor.txt [country_event\option] (Line 37, column 2) (Scope Country)
<anon> events\MEXFlavor.txt [country_event\option] (Line 58, column 2) (Scope Country)
<anon> events\MEXFlavor.txt [country_event\option] (Line 113, column 2) (Scope Country)
<anon> events\MEXFlavor.txt [country_event\option] (Line 173, column 2) (Scope Country)
<anon> events\MEXFlavor.txt [country_event\option] (Line 223, column 2) (Scope Country)
<anon> events\MostlyHarmless.txt [country_event\option] (Line 52, column 2) (Scope Country)
<anon> events\MostlyHarmless.txt [country_event\option] (Line 60, column 2) (Scope Country)
<anon> events\MostlyHarmless.txt [country_event\option] (Line 105, column 2) (Scope Country)
<anon> events\MostlyHarmless.txt [country_event\option] (Line 112, column 2) (Scope Country)
<anon> events\MostlyHarmless.txt [country_event\option] (Line 168, column 2) (Scope Country)
<anon> events\NASFlavor.txt [country_event\option] (Line 37, column 2) (Scope Country)
<anon> events\NationalistMovements.txt [province_event\option] (Line 88, column 2) (Scope Country)
<anon> events\NationalistMovements.txt [province_event\option] (Line 97, column 2) (Scope Country)
<anon> events\NationalistMovements.txt [province_event\option] (Line 197, column 2) (Scope Country)
<anon> events\NationalistMovements.txt [province_event\option] (Line 210, column 2) (Scope Country)
<anon> events\NationalistMovements.txt [province_event\option] (Line 318, column 2) (Scope Country)
<anon> events\NationalistMovements.txt [province_event\option] (Line 331, column 2) (Scope Country)
<anon> events\NationalistMovements.txt [province_event\option] (Line 425, column 2) (Scope Country)
<anon> events\NationalistMovements.txt [province_event\option] (Line 442, column 2) (Scope Country)
<anon> events\NationalistMovements.txt [province_event\option] (Line 536, column 2) (Scope Country)
<anon> events\NationalistMovements.txt [province_event\option] (Line 545, column 2) (Scope Country)
<anon> events\NationalistMovements.txt [province_event\option] (Line 639, column 2) (Scope Country)
<anon> events\NationalistMovements.txt [province_event\option] (Line 648, column 2) (Scope Country)
<anon> events\NationalistMovements.txt [province_event\option] (Line 741, column 2) (Scope Country)
<anon> events\NationalistMovements.txt [province_event\option] (Line 754, column 2) (Scope Country)
<anon> events\NationalistMovements.txt [province_event\option] (Line 763, column 2) (Scope Country)
<anon> events\NationalistMovements.txt [province_event\option] (Line 866, column 2) (Scope Country)
<anon> events\NationalistMovements.txt [province_event\option] (Line 879, column 2) (Scope Country)
<anon> events\NationalistMovements.txt [province_event\option] (Line 961, column 2) (Scope Country)
<anon> events\NationalistMovements.txt [province_event\option] (Line 969, column 2) (Scope Country)
<anon> events\NationalistMovements.txt [province_event\option] (Line 1043, column 2) (Scope Country)
<anon> events\NationalistMovements.txt [province_event\option] (Line 1056, column 2) (Scope Country)
<anon> events\NationalistMovements.txt [province_event\option] (Line 1153, column 2) (Scope Country)
<anon> events\NationalistMovements.txt [province_event\option] (Line 1169, column 2) (Scope Country)
<anon> events\NationalistMovements.txt [province_event\option] (Line 1262, column 2) (Scope Country)
<anon> events\NationalistMovements.txt [province_event\option] (Line 1282, column 2) (Scope Country)
<anon> events\NationalistMovements.txt [province_event\option] (Line 1384, column 2) (Scope Country)
<anon> events\NationalistMovements.txt [province_event\option] (Line 1474, column 2) (Scope Country)
<anon> events\NationalistMovements.txt [province_event\option] (Line 1488, column 2) (Scope Country)
<anon> events\NationalistMovements.txt [province_event\option] (Line 1573, column 2) (Scope Country)
<anon> events\NationalistMovements.txt [province_event\option] (Line 1595, column 2) (Scope Country)
<anon> events\NationalistMovements.txt [province_event\option] (Line 1609, column 2) (Scope Country)
<anon> events\NationalistMovements.txt [province_event\option] (Line 1696, column 2) (Scope Country)
<anon> events\NationalistMovements.txt [province_event\option] (Line 1711, column 2) (Scope Country)
