EVTNAME91001; We took the naval blockade; X
AMP_indonesia; Indonesia;
AMP_newgvinea; New Guinea;
AMP_zondean; Sunda Islands;
AMP_moluccas; Moluccas;
AMP_borneo; Kalimantan;
AMP_java; Java;
AMP_sumatra; Sumatra;
AMP_indochina; Indochina;
AMP_vietnam; Vietnam;
AMP_malay; Malaya;
AMP_thai; Thailand;
AMP_myanma; Myanmar;
AMP_atlanticocean; Atlantic islands;
AMP_indianocean; the Indian Ocean Islands;
AMP_india; India;
AMP_pakistan; Pakistan;
AMP_afgan; Afghanistan;
AMP_centralasia; Central Asia;
AMP_turkestan; Turkestan;
AMP_uzbek; Uzbekistan;
AMP_tajik; Tajikistan;
AMP_turkmen; Turkmenistan;
AMP_kazakh; Kazakhstan;
AMP_iran; Iran;
AMP_omanyemen; Oman and Yemen;
AMP_arabia; Arabia;
AMP_iraq; Iraq;
AMP_transjordan; Transjordan;
AMP_siria_lebanon; Syria and Lebanon;
AMP_turkey; Turkey;
AMP_transcaucassian; Transkavkaz;
AMP_armenia; Armenia;
AMP_georgia; Georgia;
AMP_azer; Azerbaijan;
AMP_ukraine; Ukraine;
AMP_belorussia; Belarus;
AMP_baltic; Baltic States;
AMP_scandinavia; Scandinavia;
AMP_finland; Finland;
AMP_sweden; Sweden;
AMP_norway; Norway;
AMP_denmark; Denmark;
AMP_portugal; Portugal;
AMP_kirgiz; Kyrgyzstan;
AMP_usa; USA;
AMP_pacificusa; Pacific states;
AMP_mountainusa; Mountain states;
AMP_westusa; US West;
AMP_northwestusa; North-western states of the USA;
AMP_northeastusa; US Northeast;
AMP_midwestusa; Midwest;
AMP_atlanticusa; Mid-Atlantic;
AMP_newenglandusa; New England;
AMP_northeastusa; US Northeast;
AMP_southwestusa; South Atlantic states;
AMP_southeastusa; South-eastern states;
AMP_southatlanticusa; South Atlantic states;
AMP_southusa; South USA;
AMP_chinaports; Chinese concession;
AMP_manchu; Manchuria;
AMP_primorie; Primorye;
AMP_fareast; Far East;
AMP_northsiberia; Northern Siberia;
AMP_southsiberia; Southern Siberia;
AMP_ural; Ural Mountains;
AMP_gayana; Guyana;
AMP_northrenrussia; Northern Russia;
AMP_centralrussia; Central Russia;
AMP_southernrussia; South Russia;
AMP_libya; Libya;
AMP_tunis; Tunisia;
AMP_algeria; Algeria;
AMP_morocco; Morocco;
AMP_egypt; Egypt;
AMP_ethiopia; Ethiopia;
AMP_sudan; Sudan;
AMP_sahara; Sahara;
AMP_westafrica; West Africa;
AMP_centralafrica; Central Africa;
AMP_southafrica; South Africa;
AMP_eastafrica; East Africa;
AMP_madagascar; Madagascar;
AMP_mongolia; Mongolia;
AMP_xinjiang; Xinjiang;
AMP_tibet; Tibet;
AMP_westchina; Western China;
AMP_southernchina; South China;
AMP_centralchina; Central China;
AMP_northchina; North China;
AMP_westukraine; Western Ukraine;
AMP_eastkraine; Eastern Ukraine;
AMP_rhein_germany; Rhineland;
AMP_northwest_germany; West Germany;
AMP_northeast_germany; East Germany;
AMP_prussia; Prussia;
AMP_germanpolen; German Poland;
AMP_russianpolen; Russian Poland;
AMP_austrianpolen; Galicia;
AMP_Angola; Angola;
AMP_Benin; Benin;
AMP_Bostwana; Bostvana;
AMP_Burkinafaso; Burkina Faso;
AMP_Burundi; Burundi;
AMP_Cameroun; Cameroon;
AMP_Capeverde; Cape Verde;
AMP_Centralafrica; CAR;
AMP_Chad; Chad;
AMP_Congofreestate; Democratic Republic of the Congo;
AMP_Equatorialguinea; Equatorial Guinea;
AMP_Gabon; Gabon;
AMP_Ghana; Ghana;
AMP_Guineabarsu; Guinea Bars;
AMP_Guinea; Guinea;
AMP_Invorycoast; Cote d'Ivoire;
AMP_Kenya; Kenya;
AMP_Malawi; Malawi;
AMP_Mali; Mali;
AMP_Mauritania; Mauritania;
AMP_Mozambique; Mozambique;
AMP_Nambia; Namibia;
AMP_Niger; Niger;
AMP_Nigeria; Nigeria;
AMP_Republicofcongo; Republic of the Congo;
AMP_Rwanda; Rwanda;
AMP_Senegal; Senegal;
AMP_Sierraleone; Sierra Leone;
AMP_Somalia; Somalia;
AMP_Tanzania; Tanzania;
AMP_Togo; Togo;
AMP_Uganda; Uganda;
AMP_Zambia; Zambia;
AMP_Zimbabwe; Zimbabwe;
AMP_southafrica; Dominion of South Africa;
AMP_Liberia; Liberia;
boreal_forest; Snowy forest; X
semi_desert; Semi-desert; X
hilly_grassland; Hilly steppe; X
scottish; Scots; X
truesight; There TruSite merged million Russian soldiers unsuccessfully storming the garrison Savchenko; X
liberal_rebels_title; liberals; X
liberal_rebels_name; liberals; X
absolute_monarchy_ruler; Emperor; X
prussian_constitutionalism_ruler; Emperor; X
artisans; Merchants; X
clergymen; teachers; X
craftsmen; Workers; X
latin-german; Latinogermantsy; X
slav; Slavs; X
arabi-turk; Arabotyurki; X
hindu; Hindus; X
mongoloid; Mongoloids; X
negroid; Negroid; X
american_native; Indians; X
iron_ore; Iron ore; X
cooper_ore; Copper ore; X
tin_ore; Tin Ore; X
plumbum_ore; Lead ore; X
nitrogen_ore; Nitrates; X
tin; tin; X
cooper; Copper; X
lead; Lead; X
engine; Engines; X
list; Rental; X
rubbers; Rubber; X
rail; rails; X
pipe; tubes; X
cast_iron; iron; X
bronze; bronze; X
uniform; military form; X
cooper_cooper_factory; Copper dressing; X
lead_lead_factory; Lead dressing; X
tin_tin_factory; Tin dressing; X
bronze_factory; bronze casting plant; X
cast_iron_factory; Iron Foundry; X
pipe_factory; Tube Works; X
list_factory; Casting and Rolling Plant; X
rail_factory; Rail plant; X
engine_factory; Motor Plant; X
uniform_factory; for uniform production factory; X
rubbers_factory; rubber vulcanization workshop; X
bronze_list_factory; Bronze. Casting-rolling plant; X
bronze_pipe_factory; Bronze. Pipe Plant; X
canned_fish_factory; canned fish factory, X;
canned_cattle_factory; canned meat plant, X;
nitrogen_ore_RGO_SIZE; Size nitratovyh mines; X
tin_ore_RGO_SIZE; Size tin-mining mines; X
cooper_ore_RGO_SIZE; size copper mining shafts; X
plumbum_ore_RGO_SIZE; Size svintsovodobyvayuschih mines; X
iron_ore_RGO_SIZE; Size zhelezodobyvayuschih mines; X
iron_cooper_factory; Gel. Copper in the ore; X
iron_lead_factory; Gel. Ore in the lead; X
iron_nitrogen_factory; Gel. Ore in nitrates; X
cooper_iron_factory; Med. The ore into iron; X
cooper_sulphur_factory; Med. Ore into sulfur; X
cooper_nitrogen_factory; Med. Ore in nitrates; X
lead_iron_factory; St. ore into iron; X
lead_tin_factory; St. ore in the tin; X
lead_nitrogen_factory; St. ore into nitrates; X
tin_iron_factory; ol. The ore into iron; X
tin_nitrogen_factory; ol. Ore in nitrates; X
cooper_cooper_factory_desc; recycles copper ore into copper. The content of impurities in the ore - 40% X;
lead_lead_factory_desc; recycles lead ore into lead. The content of impurities in the ore - 20%; X
tin_tin_factory_desc; recycles tin ore in the tin. The content of impurities in the ore - 15% X;
bronze_factory_desc; Produces bronze tin and copper. It is necessary for the production of ships and machinery, and also can be use as a replacement for steel, but higher costs in the production;. X
cast_iron_factory_desc; Iron is essential for the production of engines and mechanisms. X;
pipe_factory_desc; steel pipe used in the manufacture of engines, artillery and small arms,. X;
list_factory_desc; steel sheets used in the production of rail vehicles, cars and tanks;. X
bronze_pipe_factory_desc; Bronze pipes are identical in all steel, but their production is less profitable;. X
bronze_list_factory_desc; bronze plates are identical in all steel, but their production is less profitable;. X
rail_factory_desc; rails are used exclusively in the construction of railways. X;
engine_factory_desc; Engines are necessary for the production of ships, vehicles, aircraft and tanks;. X
canned_fish_factory_desc; These cans are made from fish, and are an alternative to meat. Canned food consumed by the army,. X;
canned_cattle_factory_desc; These cans are made from the meat and are an alternative to fish. Canned food consumed by the army,. X;
uniform_factory_desc; military form is required for the recruitment of infantry and its content;. X
iron_cooper_factory_desc; recycles iron ore into copper. The copper content in iron ore - 10% X .;
iron_lead_factory_desc; recycles iron ore in the lead. The lead content in iron ore - 10% X .;
iron_nitrogen_factory_desc; recycles iron ore into nitrates. The nitrate content in iron ore - 5%; X
cooper_iron_factory_desc; recycles copper ore into iron. The iron content of the copper ore - 20% X .;
cooper_sulphur_factory_desc; recycles copper ore in sulfur. The sulfur content of the copper ore - 15% X;
cooper_nitrogen_factory_desc; recycles copper ore into nitrates. The nitrate content in the copper ore - 5%; X
lead_iron_factory_desc; recycles lead ore into iron. The iron content of the ore in a lead - 10% X;
lead_tin_factory_desc; recycles lead ore in the tin. The tin content in lead ore - 5%; X
lead_nitrogen_factory_desc; recycles lead ore into nitrates. Nitrate and lead ore - 5%; X
tin_iron_factory_desc; recycles tin ore into iron. The iron content of the ore tin - 10% X;
tin_nitrogen_factory_desc; recycles tin ore in nitrates. The nitrate content in the ore of tin - 5%; X
coke_coal; Koksirovanny coal; X
refined_iron; Iron; X
iron_iron_factory; Iron dressing; X
iron_iron_factory_desc; it recycles iron ore suitable for use in the iron industry;. X
coke_coal_factory; coke oven; X
coke_coal_factory_desc; it enriches coal to the state after which it is suitable for efficient use in the industry, and X;
oil_rubber_factory; synthetic rubber plant; X
oil_rubber_factory_desc; Produces rubber from petroleum;. X
oil_silk_factory; synthetic silk factory; X
oil_silk_factory_desc; it produces silk of oil;. X
canned_food_factory_wool; Cannery (sheep); X
canned_food_factory_fruit; Cannery (Fruko); X
canned_food_factory_fish; Cannery (fish); X
canned_food_factory_cattle; Cannery (meat); X
transport_company; transport company; X
transport_company_desc; ; X
education_company; Institute; X
education_company_desc; ; X
culture_company; Museum; X
culture_company_desc; ; X
recreation_company; Travel agency; X
recreation_company_desc; ; X
financial_company; Financial Company; X
financial_company_desc; ; X
healthcare_company; Hospital; X
healthcare_company_desc; ; X
syntetic_fabric_factory; Plant synthetic fabric; X
syntetic_fabric_factory_desc; ; X
transport; Transport; X
education; Education; X
culture; Culture; X
recreation; tourism and recreation; X
financial_services; Financial Services; X
healthcare; Health; X
colinfantry; colonial infantry; X
mobile_artillery; self-propelled artillery; X
motorized_infantry; Motorized infantry; X
light_artillery; light artillery; X
popgrowth; Housing construction; X
education_global; Building schools, X;
immigration1; emigration; X
army_training; Training of soldiers; X
no_traning; no training; X
little_traning; Minimanaya training; X
medium_traning; Initial training; X
advanced_traning; advanced training; X
officers_training; Education officers; X
minimal_officers_training; minimal training; X
average_officers_training; Initial training; X
medium_officers_training; advanced training; X
advanced_officers_traning; comprehensive training; X
army_doctrines; doctrine; X
org_power; bet on a decisive battle; X
neutrality_power; balanced; X
reg_power; The rate of attrition; X
state_power; device; X
hehemony_power; hegemony; X
empire_power; Empire; X
unitary_power; unitary state; X
federation_power; Federation; X
army_doctrine; infantry; X
conscription; Conscription; X
conscription_desc ;; X
recruiting; conscription; X
10_years_draft; call for 10 years; X
7_years_draft; Call for 7 years; X
4_years_draft; call for 4 years; X
1_years_draft; call for 1 year; X
no_draft; contract army; X
minorities; Minorities; X
minorities_desc; Drinking unrecognized cultures; X
apartheid; Apartheid; X
apartheid_desc; Minorities are second-class citizens; X
reservations; Reservations; X
reservations_desc; Non-citizens forbidden to live close to the citizens; X
same_rules; Equality; X
same_rules_desc; representatives of all ethnic groups have equal rights; X
protected; protection of minorities; X
protected_desc; tolerance to others' cultural characteristics; X
debt_law; debt obligations; X
debt_law_desc; against the debtor in the country; X
serfdom; Lifetime duty; X
serfdom_desc; not being able to pay the debt, the citizen becomes a serf to the creditor; X
peonage; Kabala; X
peonage_desc; not being able to pay the debt, the creditor must serve the citizen until his death; X
debtors_prisons; Debt prison; X
debtors_prisons_desc; Debtors prosecuted criminally; X
bankruptcy; bankruptcy; X
bankruptcy_desc; Debtors are protected at the legislative level; X
migration_law; Internal Migration; X
migration_law_desc; migration policy in relation to the population; X
only_high_strata_migration; the elite only; X
only_high_strata_migration_desc; only the upper strata of the population have the right to freely change the place of residence; X
mid_and_high_strata_migration; Secured classes; X
mid_and_high_strata_migration_desc; only wealthy segments of the population have the right to freely change the place of residence; X
all_strata_migration; The entire population has the right to change the place of residence; X
all_strata_migration_desc; entire population; X
british_early_capitalism; Early capitalism; X
brirish_free_trade; Brit. protectionism; X
post_napoleonic_thought; post-Napoleonic tactics; X
strategic_mobility; brigade structure; X
point_defense_system; freestanding structure; X
army_doctrine_1; Tactics strike forces; X
deep_defense_system; colonial troops; X
army_doctrine_2; Preparation of reserves; X
infiltration; static defense tactics; X
modern_army_doctrine; mass appeal; X
flintlock_rifles; Squadron structure; X
muzzle_loaded_rifles; cavalry place on the battlefield; X
breech_loaded_rifles; Engineering Brigade; X
light_armament_1; Field Schools; X
machine_guns; colonial troops; X
light_armament_2; machine guns; X
bolt_action_rifles; deep breakthrough tactics; X
modern_divisional_structure; place aviation at the front; X
bronze_muzzle_loaded_artillery; bronze implements; X
iron_muzzle_loaded_artillery; Early torpedoes; X
iron_breech_loaded_artillery; Dulnozaryadnye guns; X
heavy_armament_1; coastal artillery; X
steel_breech_loaded_artillery; Cannon Baranovsky; X
heavy_armament_2; a new type of gun carriage; X
indirect_artillery_fire; turrets; X
heavy_armament_dunno; Mortars; X
military_staff_system; denote supply; X
military_plans; Organization of stores; X
military_statistics; forage reserve; X
military_science_1; First Aid; X
military_logistics; Modern fort; X
military_science_2; Marine Station; X
military_directionism; Gardening tools; X
aeronautics; Hand grenade; X
army_command_principle; golden age of sail; X
army_professionalism; Early steamers; X
army_decision_making; Monitors; X
army_leadership_1; Armadillo; X
army_leadership_2; Cruising tactics; X
army_risk_management; Battleships; X
army_nco_training; Dreadnoughts; X
great_war_experience; Land vehicles; X
post_nelsonian_thought; winter quarters; X
battleship_column_doctrine; cavalry raids; X
raider_group_doctrine; bet on the cavalry; X
naval_doctrine_1; Field exploration; X
blue_and_brown_water_schools; Colonial network; X
naval_doctrine_2; Implementation locomobile; X
high_sea_battle_fleet; organization of logistics; X
modern_naval_doctrine; mechanization of the army; X
clipper_design; Recruitment; X
steamers; Line infantry; X
ship_construction_1; Classical army; X
iron_steamers; German school; X
steel_steamers; Foreign Legion; X
ship_construction_2; Improving the ranks; X
steam_turbine_ships; service elevator; X
oil_driven_ships; experience of the world 's wars; X
naval_design_bureaus; experience of guerrilla warfare; X
fire_control_systems; introduction of a salary; X
weapon_platforms; training of officers; X
naval_engineering_1; bet on the non-commissioned officers; X
main_armament; rigid hierarchy of service; X
naval_engineering_2; Regulation of responsibilities; X
advanced_naval_design; Advocacy; X
modern_naval_design; People's War; X
alphabetic_flag_signaling; Preparation of skirmishers; X
naval_plans; target practice; X
naval_statistics; Introduction of standards; X
naval_science_1; military exercises; X
naval_logistics; handling the experience of war; X
naval_science_2; Officer program; X
naval_directionism; personal combat skill; X
naval_integration; assault group; X
the_command_principle; Divizonnaya artillery; X
naval_professionalism; generals rate; X
naval_decision_making; in the Army Engineers; X
naval_leadership_1; siege tactics; X
naval_risk_management; Vertical subordination; X
naval_leadership_2; innitsiativu role in the battle; X
naval_nco_training; Trench warfare; X
modern_naval_training; barrage; X
financial_institutions_1; structuring taxation; X
financial_institutions_2; offshore policy; X
monetary_system_1; currency exchange; X
monetary_system_2; Floating rate; X
economic_thought_and_critique_1; equilibrium dynamics model; X
economic_thought_and_critique_2; consumer society; X
market_functionality_1; joint-stock company; X
market_functionality_2; International trade; X
tech_organization_1; Trusts; X
tech_organization_2; Theory of production; X
aesthetics_1; Pointillism; X
aesthetics_2; Modern; X
philosophy_1; Dualism; X
philosophy_2; relativism; X
social_thought_1; Marxism; X
social_thought_2; Moral relativism; X
political_thought_1; Colonialism; X
political_thought_2; Theory of elites; X
psychology_1; introspection; X
psychology_2; Metapsychology; X
tech_power_1 ;; X
tech_power_2 ;; X
mechanization_1 ;; X
mechanization_2 ;; X
metallurgy_1 ;; X
metallurgy_2 ;; X
tech_infrastructure_1; crushed stone road; X
tech_infrastructure_2; Cast asphalt; X
chemistry_and_electricity_1; Cellulose; X
chemistry_and_electricity_2; Refining; X
fort_activation; construction of fortresses; X
colinfantry_activation; colonial infantry; X
steam_transport_activation; Transports; X
fort_activation; construction of fortresses; X
annex_capital; Attach metropolis; X
annex_one_state_short; Attach Power $ RECIPIENT $; X
annex_one_state_setup; Power Connection $ RECIPIENT $; X
annex_capital_short; Capture STATE $ $ Province; X
annex_capital_setup; Capture the province $ $ in the STATE Power $ RECIPIENT $ .; X
human_state_short; Capture STATE $ $ Province; X
human_state_setup; Capture the province $ $ in the STATE Power $ RECIPIENT $ .; X
human_colony_short; Capture STATE $ $ Province; X
human_colony_setup; Capture the province $ $ in the STATE Power $ RECIPIENT $ .; X
annex_krakov_short; Attach Power $ RECIPIENT $; X
annex_krakov_setup; Power Connection $ RECIPIENT $; X
annex_montenegro_short; Attach Power $ RECIPIENT $; X
annex_montenegro_setup; Power Connection $ RECIPIENT $; X
reparations_short; Reparation of Powers $ RECIPIENT $ (6); X
reparations_setup; Making reparations Power $ RECIPIENT $ (6); X
acquire_state_short; Capture STATE $ $ Province; X
acquire_state_setup; Capture the province $ $ in the STATE Power $ RECIPIENT $ .; X
acquire_port_china; Get concession; X
acquire_port_china_short; Capture province $ STATE $ (4); X
acquire_port_china_setup; Capture the province $ $ in the STATE Power $ RECIPIENT $; X
acquire_state_china; seizure of the Chinese region; X
acquire_state_china_short; Capture STATE $ $ Province; X
acquire_state_china_setup; Capture the province $ $ in the STATE Power $ RECIPIENT $; X
colony_100k; Capture colonies (<100k pops); X
colony_100k_short; Capture STATE $ $ Province; X
colony_100k_setup; Capture the province $ $ in the STATE Power $ RECIPIENT $; X
state_100k; Capture region (<100k pops); X
state_100k_short; Capture STATE $ $ Province; X
state_100k_setup; Capture the province $ $ in the STATE Power $ RECIPIENT $; X
install_fascism_gov_cb; Export fascism; X
install_fascism_gov_cb_short; Export fascism; X
install_fascism_gov_cb_setup; proclaim democratic government; X
install_democracy_gov_cb; Export democracy; X
install_democracy_gov_cb_short; Export democracy; X
install_democracy_gov_cb_setup; proclaim fascist government; X
switch_to_japanese_tech_title; the Japanese. school; X
switch_to_japanese_tech_desc; ; X
switch_to_german_tech_title; the German. school; X
switch_to_german_tech_desc; ; X
establish_protectorate_casus_belli_1; establishment of the Protectorate; X
establish_protectorate_casus_belli_1_short; Accession ?netsivilizovannogo gosudarstva? and creation on its territory of its own protectorate;. X
establish_protectorate_casus_belli_1_setup; Attach Power $ RECIPIENT $, establishing a protectorate on its territory;. X
establish_protectorate_casus_belli_1_desc; Power Connection $ RECIPIENT $; X
establish_protectorate_casus_belli_2; establishment of the Protectorate; X
establish_protectorate_casus_belli_2_short; Accession ?netsivilizovannogo gosudarstva? and creation on its territory of its own protectorate;. X
establish_protectorate_casus_belli_2_setup; Attach Power $ RECIPIENT $, establishing a protectorate on its territory;. X
establish_protectorate_casus_belli_2_desc; Power Connection $ RECIPIENT $; X
establish_protectorate_casus_belli_3; establishment of the Protectorate; X
establish_protectorate_casus_belli_3_short; Accession ?netsivilizovannogo gosudarstva? and creation on its territory of its own protectorate;. X
establish_protectorate_casus_belli_3_setup; Attach Power $ RECIPIENT $, establishing a protectorate on its territory;. X
establish_protectorate_casus_belli_3_desc; Power Connection $ RECIPIENT $; X
establish_protectorate_casus_belli_4; establishment of the Protectorate; X
establish_protectorate_casus_belli_4_short; Accession ?netsivilizovannogo gosudarstva? and creation on its territory of its own protectorate;. X
establish_protectorate_casus_belli_4_setup; Attach Power $ RECIPIENT $, establishing a protectorate on its territory;. X
establish_protectorate_casus_belli_4_desc; Power Connection $ RECIPIENT $; X
establish_protectorate_casus_belli_5; establishment of the Protectorate; X
establish_protectorate_casus_belli_5_short; Accession ?netsivilizovannogo gosudarstva? and creation on its territory of its own protectorate;. X
establish_protectorate_casus_belli_5_setup; Attach Power $ RECIPIENT $, establishing a protectorate on its territory;. X
establish_protectorate_casus_belli_5_desc; Power Connection $ RECIPIENT $; X
establish_protectorate_casus_belli_6; establishment of the Protectorate; X
establish_protectorate_casus_belli_6_short; Accession ?netsivilizovannogo gosudarstva? and creation on its territory of its own protectorate;. X
establish_protectorate_casus_belli_6_setup; Attach Power $ RECIPIENT $, establishing a protectorate on its territory;. X
establish_protectorate_casus_belli_6_desc; Power Connection $ RECIPIENT $; X
establish_protectorate_casus_belli_7; establishment of the Protectorate; X
establish_protectorate_casus_belli_7_short; Accession ?netsivilizovannogo gosudarstva? and creation on its territory of its own protectorate;. X
establish_protectorate_casus_belli_7_setup; Attach Power $ RECIPIENT $, establishing a protectorate on its territory;. X
establish_protectorate_casus_belli_7_desc; Power Connection $ RECIPIENT $; X
establish_protectorate_casus_belli_8; establishment of the Protectorate; X
establish_protectorate_casus_belli_8_short; Accession ?netsivilizovannogo gosudarstva? and creation on its territory of its own protectorate;. X
establish_protectorate_casus_belli_8_setup; Attach Power $ RECIPIENT $, establishing a protectorate on its territory;. X
establish_protectorate_casus_belli_8_desc; Power Connection $ RECIPIENT $; X
gain_state_europe; Capture Region (Europe); X
gain_state_europe_short; Capture STATE $ $ Province; X
gain_state_europe_setup; Capture the province $ $ in the STATE Power $ RECIPIENT $ .; X
gain_state_asia; Capture region (Asia); X
gain_state_asia_short; Capture STATE $ $ Province; X
gain_state_asia_setup; Capture the province $ $ in the STATE Power $ RECIPIENT $ .; X
gain_state_africa; Capture region (Africa); X
gain_state_africa_short; Capture STATE $ $ Province; X
gain_state_africa_setup; Capture the province $ $ in the STATE Power $ RECIPIENT $ .; X
gain_state_north_america; Capture region (. North America); X
gain_state_north_america_short; Capture STATE $ $ Province; X
gain_state_north_america_setup; Capture the province $ $ in the STATE Power $ RECIPIENT $ .; X
gain_state_south_america; Capture region (South America.); X
gain_state_south_america_short; Capture STATE $ $ Province; X
gain_state_south_america_setup; Capture the province $ $ in the STATE Power $ RECIPIENT $ .; X
gain_state_oceania; region (Oceania) Capture; X
gain_state_oceania_short; Capture STATE $ $ Province; X
gain_state_oceania_setup; Capture the province $ $ in the STATE Power $ RECIPIENT $ .; X
annex_krakov; Capture of Krakow;
annex_montenegro; Capture Montenegro;
Reparations, Reparations (6);;
annex_krakov_short; Krakow Accession;
annex_montenegro_short; accession of Montenegro;
reparations_short; Reparation of $ RECIPIENT $;
annex_one_state; annexation of a province;
annex_one_state_short; Connection $ RECIPIENT $;
italian_civil_war; Unification of Italy;
italian_civil_war_short; Unification of Italy; X
acquire_all_cores; return all nat. Province (4); X
acquire_all_cores_short; Return all national province; X
acquire_all_cores_setup_all; Return all national provinces, wrested power $ RECIPIENT $ .; X
add_to_sphere; Expanding (4); X
add_to_sphere_short; Expanding on the power impact of $ RECIPIENT $ (4); X
add_to_sphere_setup; expand the sphere of influence on power $ RECIPIENT $ .; X
take_from_sphere; Reducing scope (4); X
take_from_sphere_short; Exception Powers $ $ THIRD, from the sphere of influence (4); X
take_from_sphere_setup; Exclude Power $ $ THIRD, from the sphere of influence of powers $ RECIPIENT $ .; X
free_peoples; liberation of the people (50%); X
free_peoples_short; region of the STATE Transfer $ $ $ Power THIRD, $ (50%); X
free_peoples_setup; take away powers from $ RECIPIENT, region $ $ $ the STATE and pass it back to Power $ THIRD $ .; X
humiliate; Humiliation (4); X
humiliate_short; Humiliation Power $ RECIPIENT $ (4); X
humiliate_setup; Humiliate Power $ RECIPIENT $ .; X
release_puppet; vassal Exemption (6); X
release_puppet_short; Exemption Powers THIRD, $ $ (6); X
release_puppet_setup; Release the Power $ $ THIRD, from power Powers $ RECIPIENT $ (6); X
release_puppet_desc; ?derzhavy? Exemption from the power of her sovereign;. X
gain_state_brittain; Capture Province - British Isles; X
gain_state_brittain_short; Capture province $ STATE $ (6); X
gain_state_brittain_setup; Capture the province $ $ in the STATE Power $ RECIPIENT $ .; X
gain_state_france; Capture Province - France; X
gain_state_france_short; Capture province $ STATE $ (6); X
gain_state_france_setup; Capture the province $ $ in the STATE Power $ RECIPIENT $ .; X
gain_state_germany; Capture Province - Germany; X
gain_state_germany_short; Capture province $ STATE $ (6); X
gain_state_germany_setup; Capture the province $ $ in the STATE Power $ RECIPIENT $ .; X
gain_state_polen; Capture Province - Poland; X
gain_state_polen_short; Capture province $ STATE $ (4.5); X
gain_state_polen_setup; Capture the province $ $ in the STATE Power $ RECIPIENT $ .; X
gain_state_swiss; Capture of province - Switzerland; X
gain_state_swiss_short; Capture province $ STATE $ (4); X
gain_state_swiss_setup; Capture the province $ $ in the STATE Power $ RECIPIENT $ .; X
gain_state_lowlands; Capture Province - Lower Earth; X
gain_state_lowlands_short; Capture province $ STATE $ (6); X
gain_state_lowlands_setup; Capture the province $ $ in the STATE Power $ RECIPIENT $ .; X
gain_state_italy; Capture Province - Italy; X
gain_state_italy_short; Capture province $ STATE $ (6); X
gain_state_italy_setup; Capture the province $ $ in the STATE Power $ RECIPIENT $ .; X
gain_state_spain; Capture Province - Spain; X
gain_state_spain_short; Capture province $ STATE $ (6); X
gain_state_spain_setup; Capture the province $ $ in the STATE Power $ RECIPIENT $ .; X
gain_state_austria; Capture Province - Austria; X
gain_state_austria_short; Capture province $ STATE $ (6); X
gain_state_austria_setup; Capture the province $ $ in the STATE Power $ RECIPIENT $ .; X
gain_state_czechoslovakia; Capture Province - Czechoslovakia; X
gain_state_czechoslovakia_short; Capture STATE $ $ Province; X
gain_state_czechoslovakia_setup; Capture the province $ $ in the STATE Power $ RECIPIENT $ .; X
gain_state_yugoslavia; Capture Province - Yugoslavia; X
gain_state_yugoslavia_short; Capture province $ STATE $ (3); X
gain_state_yugoslavia_setup; Capture the province $ $ in the STATE Power $ RECIPIENT $ .; X
gain_state_albania; Capture Province - Albania; X
gain_state_albania_short; Capture province $ STATE $ (3); X
gain_state_albania_setup; Capture the province $ $ in the STATE Power $ RECIPIENT $ .; X
gain_state_bulgaria; Capture Province - Bulgaria; X
gain_state_bulgaria_short; Capture province $ STATE $ (3); X
gain_state_bulgaria_setup; Capture the province $ $ in the STATE Power $ RECIPIENT $ .; X
gain_state_greece; Capture Province - Greece; X
gain_state_greece_short; Capture province $ STATE $ (3); X
gain_state_greece_setup; Capture the province $ $ in the STATE Power $ RECIPIENT $ .; X
gain_state_romania; Capture Province - Romania; X
gain_state_romania_short; Capture province $ STATE $ (3); X
gain_state_romania_setup; Capture the province $ $ in the STATE Power $ RECIPIENT $ .; X
gain_state_hungary; Capture Province - Hungary; X
gain_state_hungary_short; Capture province $ STATE $ (3); X
gain_state_hungary_setup; Capture the province $ $ in the STATE Power $ RECIPIENT $ .; X
gain_state_portugal; Capture Province - Portugal; X
gain_state_portugal_short; Capture province $ STATE $ (4); X
gain_state_portugal_setup; Capture the province $ $ in the STATE Power $ RECIPIENT $ .; X
gain_state_denmark; Capture Province - Denmark; X
gain_state_denmark_short; Capture province $ STATE $ (4); X
gain_state_denmark_setup; Capture the province $ $ in the STATE Power $ RECIPIENT $ .; X
gain_state_norway; Capture Province - Norway; X
gain_state_norway_short; Capture province $ STATE $ (4); X
gain_state_norway_setup; Capture the province $ $ in the STATE Power $ RECIPIENT $ .; X
gain_state_sweden; Capture Province - Sweden; X
gain_state_sweden_short; Capture province $ STATE $ (6); X
gain_state_sweden_setup; Capture the province $ $ in the STATE Power $ RECIPIENT $ .; X
gain_state_finland; Capture of province - Finland; X
gain_state_finland_short; Capture province $ STATE $ (3); X
gain_state_finland_setup; Capture the province $ $ in the STATE Power $ RECIPIENT $ .; X
gain_state_baltic; Capture Province - Baltic States; X
gain_state_baltic_short; Capture province $ STATE $ (3); X
gain_state_baltic_setup; Capture the province $ $ in the STATE Power $ RECIPIENT $ .; X
gain_state_belorussia; Capture Province - Belarus; X
gain_state_belorussia_short; Capture province $ STATE $ (3); X
gain_state_belorussia_setup; Capture the province $ $ in the STATE Power $ RECIPIENT $ .; X
gain_state_ukraine; Capture Province - Ukraine; X
gain_state_ukraine_short; Capture province $ STATE $ (3); X
gain_state_ukraine_setup; Capture the province $ $ in the STATE Power $ RECIPIENT $ .; X
